"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2013/01/01 16:00:00","MHK VL","971","21"
"2013/01/01 16:00:00","MILLWD","405","21"
"2013/01/01 16:00:00","N.Y.C.","5793","21"
"2013/01/01 16:00:00","NORTH","854","21"
"2013/01/01 16:00:00","WEST","1857","21"
"2013/01/01 17:00:00","CAPITL","1579","22"
"2013/01/01 17:00:00","CENTRL","2128","22"
"2013/01/01 17:00:00","DUNWOD","766","22"
"2013/01/01 17:00:00","GENESE","1244","22"
"2013/01/01 17:00:00","HUD VL","1334","22"
"2013/01/01 17:00:00","LONGIL","2848","22"
"2013/01/01 17:00:00","MHK VL","1048","22"
"2013/01/01 17:00:00","MILLWD","451","22"
"2013/01/01 17:00:00","N.Y.C.","6086","22"
"2013/01/01 17:00:00","NORTH","878","22"
"2013/01/01 17:00:00","WEST","2034","22"
"2013/01/01 18:00:00","CAPITL","1588","23"
"2013/01/01 18:00:00","CENTRL","2124","23"
"2013/01/01 18:00:00","DUNWOD","778","23"
"2013/01/01 18:00:00","GENESE","1248","23"
"2013/01/01 18:00:00","HUD VL","1351","23"
"2013/01/01 18:00:00","LONGIL","2916","23"
"2013/01/01 18:00:00","MHK VL","1041","23"
"2013/01/01 18:00:00","MILLWD","462","23"
"2013/01/01 18:00:00","N.Y.C.","6135","23"
"2013/01/01 18:00:00","NORTH","873","23"
"2013/01/01 18:00:00","WEST","2052","23"
"2013/01/01 19:00:00","CAPITL","1555","0"
"2013/01/01 19:00:00","CENTRL","2083","0"
"2013/01/01 19:00:00","DUNWOD","776","0"
"2013/01/01 19:00:00","GENESE","1230","0"
"2013/01/01 19:00:00","HUD VL","1334","0"
"2013/01/01 19:00:00","LONGIL","2895","0"
"2013/01/01 19:00:00","MHK VL","1028","0"
"2013/01/01 19:00:00","MILLWD","451","0"
"2013/01/01 19:00:00","N.Y.C.","6093","0"
"2013/01/01 19:00:00","NORTH","868","0"
"2013/01/01 19:00:00","WEST","2033","0"
"2013/01/01 20:00:00","CAPITL","1502","1"
"2013/01/01 20:00:00","CENTRL","2010","1"
"2013/01/01 20:00:00","DUNWOD","757","1"
"2013/01/01 20:00:00","GENESE","1197","1"
"2013/01/01 20:00:00","HUD VL","1299","1"
"2013/01/01 20:00:00","LONGIL","2832","1"
"2013/01/01 20:00:00","MHK VL","982","1"
"2013/01/01 20:00:00","MILLWD","433","1"
"2013/01/01 20:00:00","N.Y.C.","6013","1"
"2013/01/01 20:00:00","NORTH","854","1"
"2013/01/01 20:00:00","WEST","1994","1"
"2013/01/01 21:00:00","CAPITL","1418","2"
"2013/01/01 21:00:00","CENTRL","1918","2"
"2013/01/01 21:00:00","DUNWOD","730","2"
"2013/01/01 21:00:00","GENESE","1140","2"
"2013/01/01 21:00:00","HUD VL","1238","2"
"2013/01/01 21:00:00","LONGIL","2705","2"
"2013/01/01 21:00:00","MHK VL","929","2"
"2013/01/01 21:00:00","MILLWD","407","2"
"2013/01/01 21:00:00","N.Y.C.","5880","2"
"2013/01/01 21:00:00","NORTH","836","2"
"2013/01/01 21:00:00","WEST","1918","2"
"2013/01/01 22:00:00","CAPITL","1315","3"
"2013/01/01 22:00:00","CENTRL","1797","3"
"2013/01/01 22:00:00","DUNWOD","683","3"
"2013/01/01 22:00:00","GENESE","1065","3"
"2013/01/01 22:00:00","HUD VL","1151","3"
"2013/01/01 22:00:00","LONGIL","2499","3"
"2013/01/01 22:00:00","MHK VL","864","3"
"2013/01/01 22:00:00","MILLWD","372","3"
"2013/01/01 22:00:00","N.Y.C.","5638","3"
"2013/01/01 22:00:00","NORTH","827","3"
"2013/01/01 22:00:00","WEST","1826","3"
"2013/01/01 23:00:00","CAPITL","1224","4"
"2013/01/01 23:00:00","CENTRL","1714","4"
"2013/01/01 23:00:00","DUNWOD","636","4"
"2013/01/01 23:00:00","GENESE","1006","4"
"2013/01/01 23:00:00","HUD VL","1059","4"
"2013/01/01 23:00:00","LONGIL","2270","4"
"2013/01/01 23:00:00","MHK VL","831","4"
"2013/01/01 23:00:00","MILLWD","343","4"
"2013/01/01 23:00:00","N.Y.C.","5343","4"
"2013/01/01 23:00:00","NORTH","808","4"
"2013/01/01 23:00:00","WEST","1728","4"
"2013/01/02 00:00:00","CAPITL","1154","5"
"2013/01/02 00:00:00","CENTRL","1610","5"
"2013/01/02 00:00:00","DUNWOD","588","5"
"2013/01/02 00:00:00","GENESE","961","5"
"2013/01/02 00:00:00","HUD VL","988","5"
"2013/01/02 00:00:00","LONGIL","2124","5"
"2013/01/02 00:00:00","MHK VL","779","5"
"2013/01/02 00:00:00","MILLWD","308","5"
"2013/01/02 00:00:00","N.Y.C.","5019","5"
"2013/01/02 00:00:00","NORTH","797","5"
"2013/01/02 00:00:00","WEST","1650","5"
"2013/01/02 01:00:00","CAPITL","1095","6"
"2013/01/02 01:00:00","CENTRL","1539","6"
"2013/01/02 01:00:00","DUNWOD","559","6"
"2013/01/02 01:00:00","GENESE","924","6"
"2013/01/02 01:00:00","HUD VL","952","6"
"2013/01/02 01:00:00","LONGIL","2023","6"
"2013/01/02 01:00:00","MHK VL","745","6"
"2013/01/02 01:00:00","MILLWD","303","6"
"2013/01/02 01:00:00","N.Y.C.","4803","6"
"2013/01/02 01:00:00","NORTH","785","6"
"2013/01/02 01:00:00","WEST","1584","6"
"2013/01/02 02:00:00","CAPITL","1068","7"
"2013/01/02 02:00:00","CENTRL","1503","7"
"2013/01/02 02:00:00","DUNWOD","537","7"
"2013/01/02 02:00:00","GENESE","901","7"
"2013/01/02 02:00:00","HUD VL","936","7"
"2013/01/02 02:00:00","LONGIL","1974","7"
"2013/01/02 02:00:00","MHK VL","728","7"
"2013/01/02 02:00:00","MILLWD","301","7"
"2013/01/02 02:00:00","N.Y.C.","4664","7"
"2013/01/02 02:00:00","NORTH","781","7"
"2013/01/02 02:00:00","WEST","1551","7"
"2013/01/02 03:00:00","CAPITL","1074","8"
"2013/01/02 03:00:00","CENTRL","1481","8"
"2013/01/02 03:00:00","DUNWOD","522","8"
"2013/01/02 03:00:00","GENESE","897","8"
"2013/01/02 03:00:00","HUD VL","931","8"
"2013/01/02 03:00:00","LONGIL","1953","8"
"2013/01/02 03:00:00","MHK VL","729","8"
"2013/01/02 03:00:00","MILLWD","301","8"
"2013/01/02 03:00:00","N.Y.C.","4601","8"
"2013/01/02 03:00:00","NORTH","778","8"
"2013/01/02 03:00:00","WEST","1537","8"
"2013/01/02 04:00:00","CAPITL","1119","9"
"2013/01/02 04:00:00","CENTRL","1518","9"
"2013/01/02 04:00:00","DUNWOD","530","9"
"2013/01/02 04:00:00","GENESE","927","9"
"2013/01/02 04:00:00","HUD VL","947","9"
"2013/01/02 04:00:00","LONGIL","1998","9"
"2013/01/02 04:00:00","MHK VL","747","9"
"2013/01/02 04:00:00","MILLWD","305","9"
"2013/01/02 04:00:00","N.Y.C.","4627","9"
"2013/01/02 04:00:00","NORTH","786","9"
"2013/01/02 04:00:00","WEST","1562","9"
"2013/01/02 05:00:00","CAPITL","1170","10"
"2013/01/02 05:00:00","CENTRL","1591","10"
"2013/01/02 05:00:00","DUNWOD","557","10"
"2013/01/02 05:00:00","GENESE","974","10"
"2013/01/02 05:00:00","HUD VL","989","10"
"2013/01/02 05:00:00","LONGIL","2086","10"
"2013/01/02 05:00:00","MHK VL","780","10"
"2013/01/02 05:00:00","MILLWD","324","10"
"2013/01/02 05:00:00","N.Y.C.","4805","10"
"2013/01/02 05:00:00","NORTH","796","10"
"2013/01/02 05:00:00","WEST","1605","10"
"2013/01/02 06:00:00","CAPITL","1300","11"
"2013/01/02 06:00:00","CENTRL","1764","11"
"2013/01/02 06:00:00","DUNWOD","614","11"
"2013/01/02 06:00:00","GENESE","1062","11"
"2013/01/02 06:00:00","HUD VL","1073","11"
"2013/01/02 06:00:00","LONGIL","2267","11"
"2013/01/02 06:00:00","MHK VL","876","11"
"2013/01/02 06:00:00","MILLWD","353","11"
"2013/01/02 06:00:00","N.Y.C.","5218","11"
"2013/01/02 06:00:00","NORTH","819","11"
"2013/01/02 06:00:00","WEST","1724","11"
"2013/01/02 07:00:00","CAPITL","1395","12"
"2013/01/02 07:00:00","CENTRL","1880","12"
"2013/01/02 07:00:00","DUNWOD","660","12"
"2013/01/02 07:00:00","GENESE","1130","12"
"2013/01/02 07:00:00","HUD VL","1131","12"
"2013/01/02 07:00:00","LONGIL","2394","12"
"2013/01/02 07:00:00","MHK VL","942","12"
"2013/01/02 07:00:00","MILLWD","379","12"
"2013/01/02 07:00:00","N.Y.C.","5682","12"
"2013/01/02 07:00:00","NORTH","845","12"
"2013/01/02 07:00:00","WEST","1838","12"
"2013/01/02 08:00:00","CAPITL","1403","13"
"2013/01/02 08:00:00","CENTRL","1872","13"
"2013/01/02 08:00:00","DUNWOD","684","13"
"2013/01/02 08:00:00","GENESE","1121","13"
"2013/01/02 08:00:00","HUD VL","1141","13"
"2013/01/02 08:00:00","LONGIL","2453","13"
"2013/01/02 08:00:00","MHK VL","944","13"
"2013/01/02 08:00:00","MILLWD","373","13"
"2013/01/02 08:00:00","N.Y.C.","5992","13"
"2013/01/02 08:00:00","NORTH","849","13"
"2013/01/02 08:00:00","WEST","1846","13"
"2013/01/02 09:00:00","CAPITL","1414","14"
"2013/01/02 09:00:00","CENTRL","1892","14"
"2013/01/02 09:00:00","DUNWOD","701","14"
"2013/01/02 09:00:00","GENESE","1147","14"
"2013/01/02 09:00:00","HUD VL","1152","14"
"2013/01/02 09:00:00","LONGIL","2498","14"
"2013/01/02 09:00:00","MHK VL","956","14"
"2013/01/02 09:00:00","MILLWD","367","14"
"2013/01/02 09:00:00","N.Y.C.","6223","14"
"2013/01/02 09:00:00","NORTH","850","14"
"2013/01/02 09:00:00","WEST","1845","14"
"2013/01/02 10:00:00","CAPITL","1423","15"
"2013/01/02 10:00:00","CENTRL","1903","15"
"2013/01/02 10:00:00","DUNWOD","703","15"
"2013/01/02 10:00:00","GENESE","1160","15"
"2013/01/02 10:00:00","HUD VL","1168","15"
"2013/01/02 10:00:00","LONGIL","2527","15"
"2013/01/02 10:00:00","MHK VL","963","15"
"2013/01/02 10:00:00","MILLWD","370","15"
"2013/01/02 10:00:00","N.Y.C.","6354","15"
"2013/01/02 10:00:00","NORTH","852","15"
"2013/01/02 10:00:00","WEST","1860","15"
"2013/01/02 11:00:00","CAPITL","1425","16"
"2013/01/02 11:00:00","CENTRL","1902","16"
"2013/01/02 11:00:00","DUNWOD","702","16"
"2013/01/02 11:00:00","GENESE","1162","16"
"2013/01/02 11:00:00","HUD VL","1170","16"
"2013/01/02 11:00:00","LONGIL","2527","16"
"2013/01/02 11:00:00","MHK VL","958","16"
"2013/01/02 11:00:00","MILLWD","364","16"
"2013/01/02 11:00:00","N.Y.C.","6405","16"
"2013/01/02 11:00:00","NORTH","848","16"
